Name of the Political Party,Prefix,Denominations,Journal Date,local_node_id,Round
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-07,3098,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-07,3098,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2021-10-08,3195,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2021-10-08,3195,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2021-10-08,3195,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2021-10-08,3195,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2021-10-08,3195,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TT,10000,2021-10-08,3195,11
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-10-04,3399,11
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-10-04,3399,11
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2021-10-04,3399,11
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-10-08,3232,11
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2021-10-08,3232,11
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-07,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-07,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-07,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-07,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-07,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-07,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-07,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-01-10,3226,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-10,3056,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-10,3226,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-10,3226,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-10,3226,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-10,3226,12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-01-10,3226,12
BHARAT RASHTRA SAMITHI,OC,10000000,2022-04-06,2887,13
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-04-02,3399,13
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-04-02,3399,13
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-07-07,3174,14
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-07-07,3174,14
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-07-07,3174,14
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-07-07,3174,14
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2022-07-07,3174,14
AAM AADMI PARTY,TL,1000000,2022-10-06,2867,15
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-10-10,2669,15
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-10-10,2669,15
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-10-10,2669,15
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-10-10,2669,15
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-10-10,2669,15
BHARATIYA JANATA PARTY,OC,10000000,2022-11-14,2669,16
BHARATIYA JANATA PARTY,OC,10000000,2022-11-14,2669,16
BHARATIYA JANATA PARTY,OC,10000000,2022-11-14,2669,16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",TL,1000000,2022-11-15,1684,16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-11-14,2669,16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-11-14,2669,16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-11-14,2669,16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-11-14,2669,16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2022-11-14,2669,16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2023-01-20,3174,18
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2023-01-20,3174,18
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2023-01-20,3174,18
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2023-01-20,3174,18
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-10,2906,21
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-10,2906,21
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-10,2906,21
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-10,2906,21
BHARAT RASHTRA SAMITHI,OL,100000,2023-07-10,2906,21
BHARATIYA JANATA PARTY,OC,10000000,2023-07-12,2897,21
RASHTRIYA JANTA DAL,TL,1000000,2023-07-10,2880,21
RASHTRIYA JANTA DAL,TL,1000000,2023-07-10,2880,21
RASHTRIYA JANTA DAL,TL,1000000,2023-07-10,2880,21
RASHTRIYA JANTA DAL,TL,1000000,2023-07-10,2880,21
BHARATIYA JANATA PARTY,OC,10000000,2023-10-09,2966,22
BHARATIYA JANATA PARTY,OC,10000000,2023-10-09,2966,22
BHARATIYA JANATA PARTY,OC,10000000,2023-10-09,2966,22
BHARATIYA JANATA PARTY,OC,10000000,2023-10-09,2966,22
BHARATIYA JANATA PARTY,OC,10000000,2023-10-09,2966,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-10-13,2669,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-10-13,2669,22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-10-13,2669,22
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2023-10-09,2880,22
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2023-10-09,2880,22
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2023-10-09,2880,22
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2023-10-09,2880,22
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2023-10-09,2880,22
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2023-10-09,2880,22
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2023-10-09,2880,22
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2023-10-09,2880,22
ALL INDIA TRINAMOOL CONGRESS,OL,100000,2023-10-10,2909,22
RASHTRIYA JANTA DAL,OL,100000,2023-10-09,2880,22
RASHTRIYA JANTA DAL,OL,100000,2023-10-09,2880,22
RASHTRIYA JANTA DAL,OL,100000,2023-10-09,2880,22
RASHTRIYA JANTA DAL,OL,100000,2023-10-09,2880,22
RASHTRIYA JANTA DAL,OL,100000,2023-10-10,2909,22
RASHTRIYA JANTA DAL,OL,100000,2023-10-10,2909,22
RASHTRIYA JANTA DAL,OL,100000,2023-10-10,2909,22
RASHTRIYA JANTA DAL,OL,100000,2023-10-10,2909,22
BHARATIYA JANATA PARTY,TL,1000000,2023-10-13,2664,22
BHARATIYA JANATA PARTY,TL,1000000,2023-10-13,2664,22
BHARATIYA JANATA PARTY,TL,1000000,2023-10-13,2664,22
BHARATIYA JANATA PARTY,TL,1000000,2023-10-13,2664,22
BHARATIYA JANATA PARTY,TL,1000000,2023-10-13,2664,22
BHARATIYA JANATA PARTY,OC,10000000,2023-11-09,3303,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-09,3303,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-09,3303,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-09,3303,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-09,3303,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-09,3303,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-09,3303,23
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-11-14,2717,23
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2023-11-14,2717,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,OC,10000000,2023-11-16,2928,23
BHARATIYA JANATA PARTY,TL,1000000,2023-11-18,2910,23
BHARATIYA JANATA PARTY,TL,1000000,2023-11-18,2910,23
BHARATIYA JANATA PARTY,TL,1000000,2023-11-18,2910,23
BHARATIYA JANATA PARTY,TL,1000000,2023-11-18,2910,23
BHARATIYA JANATA PARTY,TL,1000000,2023-11-18,2910,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),OC,10000000,2023-11-20,2694,23
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2024-01-08,2880,25
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2024-01-08,2880,25
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2024-01-08,2880,25
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2024-01-08,2880,25
ALL INDIA TRINAMOOL CONGRESS,TL,1000000,2024-01-08,2880,25
RASHTRIYA JANTA DAL,OC,10000000,2024-01-08,2880,25
RASHTRIYA JANTA DAL,OC,10000000,2024-01-08,2880,25
