Name of the Political Party,Prefix,Denominations,Journal Date,¶ÔÓ¦µÄlocal_node_id
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,3521
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,3521
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,3521
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,2291
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,2291
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,2291
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,2291
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1986
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1986
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1986
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1986
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1986
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,94
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,94
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,94
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,94
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,94
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,460
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,460
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,460
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,460
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,460
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,460
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,460
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,460
