Name of the Political Party,Prefix,Denominations,Journal Date,对应的local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,2260,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,960,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,960,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,960,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,960,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,960,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,276,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,276,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,276,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,276,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,276,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3406,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3406,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3406,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-12,3406,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-15,2655,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-16,717,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
BHARATIYA JANATA PARTY,OC,10000000,2019-04-18,2950,0
